record_id,title,abstract,screening_label,is_relevant,et_rank,hybrid_rank,tar_rank,et_score,hybrid_score,tar_score,category,gain_type
#43,SomaticSiMu: a mutational signature simulator.,"SUMMARY: SomaticSiMu is an in silico simulator of single and double base substitutions, and single base insertions and deletions in an input genomic sequence to mimic mutational signatures. SomaticSiMu outputs simulated DNA sequences and mutational catalogues with imposed mutational signatures. The tool is the first mutational signature simulator featuring a graphical user interface, control of mutation rates and built-in visualization tools of the simulated mutations. Simulated datasets are useful as a ground truth to test the accuracy and sensitivity of DNA sequence classification tools and mutational signature extraction tools under different experimental scenarios. The reliability of SomaticSiMu was affirmed by (i) supervised machine learning classification of simulated sequences with different mutation types and burdens, and (ii) mutational signature extraction from simulated mutational catalogues. AVAILABILITY AND IMPLEMENTATION: SomaticSiMu is written in Python 3.8.3. The open-source code, documentation and tutorials are available at https://github.com/HillLab/SomaticSiMu under the terms of the CreativeCommonsAttribution4.0InternationalLicense. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",include,1,226,652,2,0.6096983517971627,0.6203376132008473,0.8970606334193606,true_positive_lost,et_vs_tar_lost
#290,Detection of oncogenic and clinically actionable mutations in cancer genomes critically depends on variant calling tools.,"MOTIVATION: The analysis of cancer genomes provides fundamental information about its etiology, the processes driving cell transformation or potential treatments. While researchers and clinicians are often only interested in the identification of oncogenic mutations, actionable variants or mutational signatures, the first crucial step in the analysis of any tumor genome is the identification of somatic variants in cancer cells (i.e. those that have been acquired during their evolution). For that purpose, a wide range of computational tools have been developed in recent years to detect somatic mutations in sequencing data from tumor samples. While there have been some efforts to benchmark somatic variant calling tools and strategies, the extent to which variant calling decisions impact the results of downstream analyses of tumor genomes remains unknown. RESULTS: Here, we quantify the impact of variant calling decisions by comparing the results obtained in three important analyses of cancer genomics data (identification of cancer driver genes, quantification of mutational signatures and detection of clinically actionable variants) when changing the somatic variant caller (MuSE, MuTect2, SomaticSniper and VarScan2) or the strategy to combine them (Consensus of two, Consensus of three and Union) across all 33 cancer types from The Cancer Genome Atlas. Our results show that variant calling decisions have a significant impact on these analyses, creating important differences that could even impact treatment decisions for some patients. Moreover, the Consensus of three calling strategy to combine the output of multiple variant calling tools, a very widely used strategy by the research community, can lead to the loss of some cancer driver genes and actionable mutations. Overall, our results highlight the limitations of widespread practices within the cancer genomics community and point to important differences in critical analyses of tumor sequencing data depending on variant calling, affecting even the identification of clinically actionable variants. AVAILABILITY AND IMPLEMENTATION: Code is available at https://github.com/carlosgarciaprieto/VariantCallingClinicalBenchmark. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",include,1,108,112,23,0.8649725172554261,0.7673038406997914,0.8029006239948903,true_positive_lost,et_vs_tar_lost
#304,PhySigs: Phylogenetic Inference of Mutational Signature Dynamics.,"Distinct mutational processes shape the genomes of the clones comprising a tumor. These processes result in distinct mutational patterns, summarized by a small number of mutational signatures. Current analyses of clone-specific exposures to mutational signatures do not fully incorporate a tumor's evolutionary context, either inferring identical exposures for all tumor clones, or inferring exposures for each clone independently. Here, we introduce the Tree-constrained Exposure problem to infer a small number of exposure shifts along the edges of a given tumor phylogeny. Our algorithm, PhySigs, solves this problem and includes model selection to identify the number of exposure shifts that best explain the data. We validate our approach on simulated data and identify exposure shifts in lung cancer data, including at least one shift with a matching subclonal driver mutation in the mismatch repair pathway. Moreover, we show that our approach enables the prioritization of alternative phylogenies inferred from the same sequencing data. PhySigs is publicly available at https://github.com/elkebir-group/PhySigs.",exclude,0,117,163,24,0.8369773763457495,0.7378248221828639,0.8028797435922677,false_positive_lost,et_vs_tar_lost
#159,Generating realistic null hypothesis of cancer mutational landscapes using SigProfilerSimulator.,"BACKGROUND: Performing a statistical test requires a null hypothesis. In cancer genomics, a key challenge is the fast generation of accurate somatic mutational landscapes that can be used as a realistic null hypothesis for making biological discoveries. RESULTS: Here we present SigProfilerSimulator, a powerful tool that is capable of simulating the mutational landscapes of thousands of cancer genomes at different resolutions within seconds. Applying SigProfilerSimulator to 2144 whole-genome sequenced cancers reveals: (i) that most doublet base substitutions are not due to two adjacent single base substitutions but likely occur as single genomic events; (ii) that an extended sequencing context of ± 2 bp is required to more completely capture the patterns of substitution mutational signatures in human cancer; (iii) information on false-positive discovery rate of commonly used bioinformatics tools for detecting driver genes. CONCLUSIONS: SigProfilerSimulator's breadth of features allows one to construct a tailored null hypothesis and use it for evaluating the accuracy of other bioinformatics tools or for downstream statistical analysis for biological discoveries. SigProfilerSimulator is freely available at https://github.com/AlexandrovLab/SigProfilerSimulator with an extensive documentation at https://osf.io/usxjz/wiki/home/ .",exclude,0,176,211,37,0.7398398461371705,0.720205270910094,0.7611457160416097,false_positive_lost,et_vs_tar_lost
#470,Cancer mutational signatures representation by large-scale context embedding.,"MOTIVATION: The accumulation of somatic mutations plays critical roles in cancer development and progression. However, the global patterns of somatic mutations, especially non-coding mutations, and their roles in defining molecular subtypes of cancer have not been well characterized due to the computational challenges in analysing the complex mutational patterns. RESULTS: Here, we develop a new algorithm, called MutSpace, to effectively extract patient-specific mutational features using an embedding framework for larger sequence context. Our method is motivated by the observation that the mutation rate at megabase scale and the local mutational patterns jointly contribute to distinguishing cancer subtypes, both of which can be simultaneously captured by MutSpace. Simulation evaluations show that MutSpace can effectively characterize mutational features from known patient subgroups and achieve superior performance compared with previous methods. As a proof-of-principle, we apply MutSpace to 560 breast cancer patient samples and demonstrate that our method achieves high accuracy in subtype identification. In addition, the learned embeddings from MutSpace reflect intrinsic patterns of breast cancer subtypes and other features of genome structure and function. MutSpace is a promising new framework to better understand cancer heterogeneity based on somatic mutations. AVAILABILITY AND IMPLEMENTATION: Source code of MutSpace can be accessed at: https://github.com/ma-compbio/MutSpace. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",include,1,138,147,38,0.807926626339983,0.7446802391024235,0.7568531464471321,true_positive_lost,et_vs_tar_lost
#378,MOV&RSim: computational modelling of cancer-specific variants and sequencing reads characteristics for realistic tumoral sample simulation.,"BACKGROUND: Bioinformatics pipelines for variant calling have undergone significant advancements due to the decreasing costs of next-generation sequencing. Accurate mutation detection is crucial for personalised medicine in cancer, particularly in assignment of therapy. Somatic variant calling, however, remains challenging due to diverse cancer types, heterogeneity, complex mutational profiles, and unpredictable sequencing errors. A dataset of fully characterised tumoral genomes and sequencing reads, large enough to represent the variability inherent in different cancer types, is still lacking, even considering synthetic data. The lack of such datasets hampers rigorous evaluation, benchmarking and optimization of variant callers for specific cancer types. RESULTS: The contribution of this work is twofold. First, we conducted a comprehensive analysis of nine somatic sample simulators (Synggen, BAMSurgeon, SVEngine, VarSim, Xome-Blender, tHapMix, Pysim-sv, SCNVSim, HeteroGenesis) assessing their ability to control biological parameters, including variants characteristics (type, number, position, length, content, zygosity), and sample characteristics (clonality, contamination); and technical parameters, including reads characteristics (sequencing errors, coverage, base qualities). No single simulator provided complete control over both biological and technical parameters, nor guidance on tuning biological parameters for cancer-specific simulations. Consequently, we developed MOV&RSim, a novel simulator that leverages data-driven information to set variants and reads characteristics, producing realistic tumoral samples, and providing full control on biological and technical parameters. Additionally, we leveraged well-annotated variant databases to create cancer-specific presets that inform the simulator’s parameters for 21 cancer types. CONCLUSION: This new simulator, containerised with Docker and freely available for academic use, empowers users to define each biological parameter of a tumoral genome and faithfully replicates the variability of technical noise observed in real sequencing reads. The proposed simulator and presets represent the most adaptable and comprehensive framework currently available for generating tumor samples, enabling comprehensive benchmarking and, ultimately, the optimization of somatic variant callers across diverse cancer types.",include,1,271,598,40,0.5132151909587742,0.6301560682400119,0.7560089967051605,true_positive_lost,et_vs_tar_lost
#279,vcfView: An Extensible Data Visualization and Quality Assurance Platform for Integrated Somatic Variant Analysis.,"MOTIVATION: Somatic mutations can have critical prognostic and therapeutic implications for cancer patients. Although targeted methods are often used to assay specific cancer driver mutations, high throughput sequencing is frequently applied to discover novel driver mutations and to determine the status of less-frequent driver mutations. The task of recovering somatic mutations from these data is nontrivial as somatic mutations must be distinguished from germline variants, sequencing errors, and other artefacts. Consequently, bioinformatics pipelines for recovery of somatic mutations from high throughput sequencing typically involve a large number of analytical choices in the form of quality filters. RESULTS: We present vcfView, an interactive tool designed to support the evaluation of somatic mutation calls from cancer sequencing data. The tool takes as input a single variant call format (VCF) file and enables researchers to explore the impacts of analytical choices on the mutant allele frequency spectrum, on mutational signatures and on annotated somatic variants in genes of interest. It allows variants that have failed variant caller filters to be re-examined to improve sensitivity or guide the design of future experiments. It is extensible, allowing other algorithms to be incorporated easily. AVAILABILITY: The shiny application can be downloaded from GitHub (https://github.com/BrianOSullivanGit/vcfView). All data processing is performed within R to ensure platform independence. The app has been tested on RStudio, version 1.1.456, with base R 3.6.2 and Shiny 1.4.0. A vignette based on a publicly available data set is also available on GitHub.",include,1,130,122,43,0.8229403506097529,0.7618780061781714,0.7402769467734434,true_positive_lost,et_vs_tar_lost
#293,In silico generation of synthetic cancer genomes using generative AI.,"Understanding how genomic alterations drive cancer is key to advancing precision oncology. To detect these alterations, accurate algorithms are used; however, due to privacy concerns, few deeply sequenced cancer genomes can be shared, limiting benchmarking and representing a major obstacle to the improvement of analytic tools. To address this, we developed OncoGAN, a generative AI model combining adversarial networks and variational autoencoders to create realistic synthetic cancer genomes. Trained on large-scale genomic datasets, OncoGAN accurately reproduces somatic mutations, copy number alterations, and structural variants across cancer types while preserving donors' privacy. The synthetic genomes reflect tumor-specific mutational signatures and positional mutation patterns. Using DeepTumour, we validated the synthetic data's fidelity, showing high concordance between generated and predicted tumors. Moreover, augmenting the training data with synthetic genomes improved DeepTumour's accuracy, underscoring OncoGAN's potential to generate shareable datasets with known ground truths for benchmarking and enhancement of cancer genome analysis tools.",exclude,0,172,161,48,0.7483420344955265,0.7392361344830141,0.7271885686147466,false_positive_lost,et_vs_tar_lost
#67,VCFshiny: an R/Shiny application for interactively analyzing and visualizing genetic variants.,"SUMMARY: Next-generation sequencing generates variants that are typically documented in variant call format (VCF) files. However, comprehensively examining variant information from VCF files can pose a significant challenge for researchers lacking bioinformatics and programming expertise. To address this issue, we introduce VCFshiny, an R package that features a user-friendly web interface enabling interactive annotation, interpretation, and visualization of variant information stored in VCF files. VCFshiny offers two annotation methods, Annovar and VariantAnnotation, to add annotations such as genes or functional impact. Annotated VCF files are deemed acceptable inputs for the purpose of summarizing and visualizing variant information. This includes the total number of variants, overlaps across sample replicates, base alterations of single nucleotides, length distributions of insertions and deletions (indels), high-frequency mutated genes, variant distribution in the genome and of genome features, variants in cancer driver genes, and cancer mutational signatures. VCFshiny serves to enhance the intelligibility of VCF files by offering an interactive web interface for analysis and visualization. AVAILABILITY AND IMPLEMENTATION: The source code is available under an MIT open source license at https://github.com/123xiaochen/VCFshiny with documentation at https://123xiaochen.github.io/VCFshiny.",include,1,235,350,49,0.5891389575397716,0.6784450337384663,0.719926811064861,true_positive_lost,et_vs_tar_lost
#1464,VirMutSig: Discovery and assignment of viral mutational signatures from sequencing data,"We describe the procedures to perform the following: (1) the de novo discovery of mutational signatures from raw sequencing data of viral samples and (2) the association of existing viral mutational signatures to the samples of a given data -set. The goal is to identify and characterize the nucleotide substitution patterns related to the mutational processes that underlie the origination of variants in viral genomes. The VirMutSig protocol is available at this link: https://github. com/BIMIB-DISCo/VirMutSig.For complete information on the theoretical aspects of this protocol, please refer to Graudenzi et al. (2021).",irrelevant,0,189,362,51,0.7188056374612931,0.675500343946425,0.7169461222726439,false_positive_lost,et_vs_tar_lost
#1428,A SAMPLING ALGORITHM TO COMPUTE THE SET OF FEASIBLE SOLUTIONS FOR NONNEGATIVE MATRIX FACTORIZATION WITH AN ARBITRARY RANK,"Nonnegative matrix factorization (NMF) is a useful method to extract features from multivariate data, but an important and sometimes neglected concern is that NMF can result in nonunique solutions. Often, there exist a set of feasible solutions (SFS), which makes it more difficult to interpret the factorization. This problem is especially ignored in cancer genomics, where NMF is used to infer information about the mutational processes present in the evolution of cancer. In this paper the extent of nonuniqueness is investigated for two mutational counts data, and a new sampling algorithm that can find the SFS is introduced. Our sampling algorithm is easy to implement and applies to an arbitrary rank of NMF. This is in contrast to state of the art, where the NMF rank must be smaller than or equal to four. For lower ranks we show that our algorithm performs similar to the polygon inflation algorithm that is developed in relation to chemometrics. Furthermore, we show how the size of the SFS can have a high influence on the appearing variability of a solution. Our sampling algorithm is implemented in the R package SFS (https://github.com/ragnhildlaursen/SFS).",exclude,0,351,705,52,0.3771672919445576,0.613131373505261,0.71633594093538,false_positive_lost,et_vs_tar_lost
#1057,Detecting Somatic Mutations Without Matched Normal Samples Using Long Reads.,"DNA sequencing of tumours to identify somatic mutations has become a critical tool to guide the type of treatment given to cancer patients. The gold standard for mutation calling is comparing sequencing data from the tumour to a matched normal sample to avoid mis-classifying inherited SNPs as mutations. This procedure works extremely well, but in certain situations only a tumour sample is available. While approaches have been developed to find mutations without a matched normal, they have limited accuracy or require specific types of input data (e.g. ultra-deep sequencing). Here we explore the application of single molecule long read sequencing to calling somatic mutations without matched normal samples. We develop a simple theoretical framework to show how haplotype phasing is an important source of information for determining whether a variant is a somatic mutation. We then use simulations to assess the range of experimental parameters (tumour purity, sequencing depth) where this approach is effective. These ideas are developed into a prototype somatic mutation caller, smrest, and its use is demonstrated on two highly mutated cancer cell lines. Finally, we argue that this approach has potential to measure clinically important biomarkers that are based on the genome-wide distribution of mutations: tumour mutation burden and mutation signatures.",exclude,0,112,144,57,0.8538188580071684,0.746475451734921,0.7019897452875875,false_positive_lost,et_vs_tar_lost
#630,Influence network model uncovers relations between biological processes and mutational signatures.,"BACKGROUND: There has been a growing appreciation recently that mutagenic processes can be studied through the lenses of mutational signatures, which represent characteristic mutation patterns attributed to individual mutagens. However, the causal links between mutagens and observed mutation patterns as well as other types of interactions between mutagenic processes and molecular pathways are not fully understood, limiting the utility of mutational signatures. METHODS: To gain insights into these relationships, we developed a network-based method, named GENESIGNET that constructs an influence network among genes and mutational signatures. The approach leverages sparse partial correlation among other statistical techniques to uncover dominant influence relations between the activities of network nodes. RESULTS: Applying GENESIGNET to cancer data sets, we uncovered important relations between mutational signatures and several cellular processes that can shed light on cancer-related processes. Our results are consistent with previous findings, such as the impact of homologous recombination deficiency on clustered APOBEC mutations in breast cancer. The network identified by GENESIGNET also suggest an interaction between APOBEC hypermutation and activation of regulatory T Cells (Tregs), as well as a relation between APOBEC mutations and changes in DNA conformation. GENESIGNET also exposed a possible link between the SBS8 signature of unknown etiology and the Nucleotide Excision Repair (NER) pathway. CONCLUSIONS: GENESIGNET provides a new and powerful method to reveal the relation between mutational signatures and gene expression. The GENESIGNET method was implemented in python, and installable package, source codes and the data sets used for and generated during this study are available at the Github site https://github.com/ncbi/GeneSigNet.",irrelevant,0,118,224,59,0.836590346042569,0.7161032125433281,0.6990160847156983,false_positive_lost,et_vs_tar_lost
#148,A mixture model for signature discovery from sparse mutation data.,"Mutational signatures are key to understanding the processes that shape cancer genomes, yet their analysis requires relatively rich whole-genome or whole-exome mutation data. Recently, orders-of-magnitude sparser gene-panel-sequencing data have become increasingly available in the clinic. To deal with such sparse data, we suggest a novel mixture model, Mix. In application to simulated and real gene-panel sequences, Mix is shown to outperform current approaches and yield mutational signatures and patient stratifications that are in higher agreement with the literature. We further demonstrate its utility in several clinical settings, successfully predicting therapy benefit and patient groupings from MSK-IMPACT pan-cancer data. Availability: https://github.com/itaysason/Mix-MMM .",irrelevant,0,116,101,64,0.8383870909710537,0.772210477002462,0.6873006469130173,false_positive_lost,et_vs_tar_lost
#331,Examining clustered somatic mutations with SigProfilerClusters.,"MOTIVATION: Clustered mutations are found in the human germline as well as in the genomes of cancer and normal somatic cells. Clustered events can be imprinted by a multitude of mutational processes, and they have been implicated in both cancer evolution and development disorders. Existing tools for identifying clustered mutations have been optimized for a particular subtype of clustered event and, in most cases, relied on a predefined inter-mutational distance (IMD) cutoff combined with a piecewise linear regression analysis. RESULTS: Here, we present SigProfilerClusters, an automated tool for detecting all types of clustered mutations by calculating a sample-dependent IMD threshold using a simulated background model that takes into account extended sequence context, transcriptional strand asymmetries and regional mutation densities. SigProfilerClusters disentangles all types of clustered events from non-clustered mutations and annotates each clustered event into an established subclass, including the widely used classes of doublet-base substitutions, multi-base substitutions, omikli and kataegis. SigProfilerClusters outputs non-clustered mutations and clustered events using standard data formats as well as provides multiple visualizations for exploring the distributions and patterns of clustered mutations across the genome. AVAILABILITY AND IMPLEMENTATION: SigProfilerClusters is supported across most operating systems and made freely available at https://github.com/AlexandrovLab/SigProfilerClusters with an extensive documentation located at https://osf.io/qpmzw/wiki/home/. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",exclude,0,152,281,66,0.7808458871564368,0.6993769994736514,0.6833269182842087,false_positive_lost,et_vs_tar_lost
#602,A mutation-level covariate model for mutational signatures.,"Mutational processes and their exposures in particular genomes are key to our understanding of how these genomes are shaped. However, current analyses assume that these processes are uniformly active across the genome without accounting for potential covariates such as strand or genomic region that could impact such activities. Here we suggest the first mutation-covariate models that explicitly model the effect of different covariates on the exposures of mutational processes. We apply these models to test the impact of replication strand on these processes and compare them to strand-oblivious models across a range of data sets. Our models capture replication strand specificity, point to signatures affected by it, and score better on held-out data compared to standard models that do not account for mutation-level covariate information.",irrelevant,0,242,526,69,0.5745988753051824,0.6396190827951519,0.6725245011862533,false_positive_lost,et_vs_tar_lost
#456,SigFormer: an Attention-Based Framework for Robust Single-Sample Mutational Signature Decomposition.,"Somatic mutational signatures imprint the history of exogenous exposures and endogenous processes on the genome, offering critical insights into pathologic etiology and disease risk. However, accurate signature decomposition at the single-sample level is still challenging when mutation burden is low, sampling noise is high, and candidate catalogs are large and redundant. Here, we present SigFormer, a set-conditioned transformer framework designed to facilitate robust somatic mutation analysis without reliance on large cohorts. By leveraging a cross-attention mechanism between customized reference input and sample mutation profile, SigFormer improves exposure recovery and detection accuracy compared with likelihood-driven refitting (MuSiCal) with the largest performance gains in high-noise and overcomplete settings. On PCAWG genomes, SigFormer preserves major tissue-level structure while sensitively and accurately capturing cooccurrence of low-abundance signatures but without the need for tumor-type-specific gating. In low-burden normal-tissue datasets spanning clonal expansion and microdissection studies, SigFormer maintains the high accuracy and recovers stable tissue-dependent patterns of SBS1/SBS5/SBS40a, pointing to underlying tissue-specific mutagenic heterogeneity in normal tissues. Finally, SigFormer quantifies an explicit unattributable residual component when the catalogue is incomplete, preventing forced allocation into flexible flat signatures and providing a useful signal for downstream analyses.",include,1,127,145,70,0.8288012394249037,0.7461147977711811,0.669123535279463,true_positive_lost,et_vs_tar_lost
#1466,A neural network for determination of latent dimensionality in non-negative matrix factorization,"Non-negative matrix factorization (NMF) has proven to be a powerful unsupervised learning method for uncovering hidden features in complex and noisy data sets with applications in data mining, text recognition, dimension reduction, face recognition, anomaly detection, blind source separation, and many other fields. An important input for NMF is the latent dimensionality of the data, that is, the number of hidden features, K, present in the explored data set. Unfortunately, this quantity is rarely known a priori. The existing methods for determining latent dimensionality, such as automatic relevance determination (ARD), are mostly heuristic and utilize different characteristics to estimate the number of hidden features. However, all of them require human presence to make a final determination of K. Here we utilize a supervised machine learning approach in combination with a recent method for model determination, called NMFk, to determine the number of hidden features automatically. NMFk performs a set of NMF simulations on an ensemble of matrices, obtained by bootstrapping the initial data set, and determines which K produces stable groups of latent features that reconstruct the initial data set well. We then train a multi-layer perceptron (MLP) classifier network to determine the correct number of latent features utilizing the statistics and characteristics of the NMF solutions, obtained from NMFk. In order to train the MLP classifier, a training set of 58 660 matrices with predetermined latent features were factorized with NMFk. The MLP classifier in conjunction with NMFk maintains a greater than 95% success rate when applied to a held out test set. Additionally, when applied to two well-known benchmark data sets, the swimmer and MIT face data, NMFk/MLP correctly recovered the established number of hidden features. Finally, we compared the accuracy of our method to ARD, AIC and stability-based methods.",irrelevant,0,459,1198,72,0.2205210377546221,0.541318489978546,0.6660812585769339,false_positive_lost,et_vs_tar_lost
#132,GENOMICON-Seq enables realistic simulation of amplicon and exome sequencing for low-frequency mutation detection.,"Accurate detection of low-frequency mutations is crucial for understanding viral evolution and tumorigenesis in humans, but is often confounded by technical artifacts introduced during library preparation and sequencing. We present GENOMICON-Seq, an end-to-end simulation tool that models both amplicon and whole exome sequencing (WES) workflows with realistic biological mutations and technical noise. GENOMICON-Seq inserts ground truth mutations, ranging from APOBEC3-like edits to COSMIC single base substitution signatures, before subjecting samples to simulated PCR errors, probe-capture enrichment, and Illumina-specific sequencing biases. By tracking each mutation's origin (true or error-derived), researchers can pinpoint detection limits and optimize variant-calling thresholds. We illustrate GENOMICON-Seq's versatility through study cases involving human papillomavirus (HPV) amplicon sequencing, highlighting the impacts of polymerase fidelity, viral copy number, and read depth on detecting low-frequency mutations. In parallel, WES simulations demonstrate how capture biases and varying allele frequencies affect somatic mutation calls. GENOMICON-Seq is thus a flexible, reproducible framework for assessing new protocols, benchmarking variant callers, and refining data analysis pipelines, ultimately reducing costly trial-and-error in the laboratory. The Docker-based package is freely available at https://github.com/Rounge-lab/GENOMICON-Seq .",include,1,250,376,75,0.5429666894858121,0.6738729487483561,0.6567375736493755,true_positive_lost,et_vs_tar_lost
#1353,Excerno: Using Mutational Signatures in Sequencing Data to Filter False Variants Caused by Clinical Archival.,"The accurate detection of point mutations from pathology slides using sequencing data is of great importance in cancer genomics and precision oncology. Formalin-fixation paraffin-embedding (FFPE) is a widely used technique to preserve pathology tissues. The FFPE process introduces artificial C > T mutations in next-generation sequencing, so we set out to develop excerno, a method to score and filter such spurious variants. FFPE mutational artifacts follow a mutational signature. By using the FFPE signature and Bayes' formula, we can calculate the probability of a mutation resulting from the FFPE process and use this probability to filter FFPE variants. We implement this method as the excerno R package. We tested excerno by simulating mutations across all 60-baseline mutational signatures from the Catalog of Somatic Mutations in Cancer (COSMIC) and combining them with mutations following the FFPE mutational signature. The sensitivity and specificity of excerno are adversely affected by the cosine similarity between the baseline and FFPE signatures (cosFFPE). Higher percentages of FFPE mutations (pctFFPE) result in increased sensitivity and reduced specificity. The specificity and sensitivity of excerno can be predicted as linear model with an interaction term using cosFFPE and pctFFPE, with an R2of0.84 and 0.79, respectively. Finally, we tested excerno using six RNA sequencing cancer samples and observed concordant trends of specificity and sensitivity with respect to our simulated data. The excerno R package can be used to annotate and filter FFPE-induced mutations in cancer genomics. Our method is adversely affected by cosFFPE and pctFFPE.",exclude,0,105,111,80,0.8703559050369979,0.7673122447574504,0.6435808910965466,false_positive_lost,et_vs_tar_lost
#376,A Sticky Multinomial Mixture Model of Strand-Coordinated Mutational Processes in Cancer.,"The characterization of mutational processes in terms of their signatures of activity relies mostly on the assumption that mutations in a given cancer genome are independent of one another. Recently, it was discovered that certain segments of mutations, termed processive groups, occur on the same DNA strand and are generated by a single process or signature. Here we provide a first probabilistic model of mutational signatures that accounts for their observed stickiness and strand coordination. The model conditions on the observed strand for each mutation and allows the same signature to generate a run of mutations. It can both use known signatures or learn new ones. We show that this model provides a more accurate description of the properties of mutagenic processes than independent-mutation achieving substantially higher likelihood on held-out data. We apply this model to characterize the processivity of mutagenic processes across multiple types of cancer.",irrelevant,0,170,467,81,0.753760811511503,0.651649114317654,0.6433829484438269,false_positive_lost,et_vs_tar_lost
