baseline_ap,baseline_rel100,baseline_rank90,feature_removed,ap,delta_ap,rel_at_100,delta_rel_at_100,rank_at_90,delta_rank_at_90
0.6800,69,247,tar_tfidf_logreg_score_top100_flag,0.6630298988893087,0.01693350587561593,68,1,265,18
0.6800,69,247,bm25_score_top100_flag,0.6713169770027984,0.008646427762126319,68,1,248,1
0.6800,69,247,tfidf_score_top100_flag,0.6715672972340196,0.008396107530905028,68,1,254,7
0.6800,69,247,keyword_score_top100_flag,0.6718692299823774,0.008094174782547259,68,1,247,0
0.6800,69,247,tar_tfidf_logreg_score,0.6726898920301043,0.007273512734820353,68,1,272,25
0.6800,69,247,score_max,0.6729373773418155,0.007026027423109205,69,0,245,-2
0.6800,69,247,pubmedbert_score_top100_flag,0.6729473712513441,0.0070160335135806,67,2,245,-2
0.6800,69,247,keyword_score,0.6736156058028739,0.0063477989620507325,69,0,246,-1
0.6800,69,247,score_std,0.6737147615475041,0.00624864321742058,68,1,244,-3
0.6800,69,247,keyword_score_rank_pct,0.6737582335244596,0.006205171240465046,68,1,248,1
0.6800,69,247,lexical_score_mean,0.6758928229105261,0.0040705818543985695,68,1,246,-1
0.6800,69,247,tar_tfidf_logreg_score_rank_pct,0.6759139000435785,0.004049504721346131,67,2,260,13
0.6800,69,247,score_mean,0.6762395827599976,0.0037238220049270465,69,0,243,-4
0.6800,69,247,specter_hybrid_score,0.6766600964330463,0.0033033083318784184,68,1,247,0
0.6800,69,247,specter_proposal_similarity_rank_pct,0.678107114209871,0.0018562905550536524,67,2,246,-1
0.6800,69,247,pubmedbert_score_rank_pct,0.6783278181113123,0.0016355866536124086,67,2,249,2
0.6800,69,247,specter_proposal_similarity_top100_flag,0.6784166343978422,0.0015467703670825061,67,2,246,-1
0.6800,69,247,minilm_score_rank_pct,0.6789884662804524,0.0009749384844722764,67,2,243,-4
0.6800,69,247,specter_proposal_similarity,0.679178186145581,0.0007852186193436639,68,1,247,0
0.6800,69,247,pubmedbert_score,0.6792094242547132,0.0007539805102114716,68,1,249,2
0.6800,69,247,specter_rq_similarity,0.6794430095790381,0.0005203951858865352,67,2,249,2
0.6800,69,247,specter_rq_similarity_rank_pct,0.6795062371792596,0.00045716758566505256,68,1,247,0
0.6800,69,247,minilm_score_top100_flag,0.6798336786875859,0.0001297260773387432,68,1,245,-2
0.6800,69,247,tfidf_score_rank_pct,0.6799102513401927,5.31534247319998e-05,69,0,250,3
0.6800,69,247,minilm_score,0.6804735354337975,-0.0005101306688728435,67,2,248,1
0.6800,69,247,specter_hybrid_score_top100_flag,0.680541856807621,-0.0005784520426963535,66,3,246,-1
0.6800,69,247,specter_score_top100_flag,0.6808382483366425,-0.0008748435717178538,67,2,242,-5
0.6800,69,247,specter_rq_similarity_top100_flag,0.681530702123452,-0.001567297358527342,70,-1,241,-6
0.6800,69,247,tfidf_score,0.6815699224230423,-0.00160651765811759,70,-1,248,1
0.6800,69,247,bm25_score,0.681858428330827,-0.0018950235659023207,67,2,244,-3
0.6800,69,247,specter_score,0.6819129963458189,-0.0019495915808942499,69,0,244,-3
0.6800,69,247,specter_score_rank_pct,0.6826931346691515,-0.0027297299042268186,68,1,245,-2
0.6800,69,247,bm25_score_rank_pct,0.6833923267915043,-0.0034289220265796283,68,1,245,-2
0.6800,69,247,specter_hybrid_score_rank_pct,0.6844849990852536,-0.004521594320328948,68,1,244,-3
0.6800,69,247,dense_score_mean,0.684538473767052,-0.004575069002127341,68,1,244,-3
