record_id,title,abstract,screening_label,is_relevant,et_rank,hybrid_rank,tar_rank,et_score,hybrid_score,tar_score,category,gain_type
#1997,Accounting for Transcriptional Asymmetries in Mutational Signature Analysis Using Compressive Bayesian Non-negative Matrix Factorization,"Mutational signature analysis is a powerful tool to unveil the mutagenic processes associated with cancer. Traditionally, mutational signatures are inferred by applying non-negative matrix factorization (NMF) algorithms to the matrix of counts of 96 strand-agnostic single-nucleotide-substitution mutations detected along the genome across several tumor samples. However, increasing evidence shows that certain processes act preferentially on the transcription strand relative to the untranscribed one, potentially leading to transcriptional stand biases in the signatures. In this case, one has to account for strand dependence across mutational channels to obtain a deeper characterization of the processes molding the tumor of interest. In this paper, we apply the recently introduced compressive Bayesian NMF model, which allows for the automatic selection of the factorization rank, to detect mutational signatures with potential strand asymmetries. We illustrate the method in an application to pediatric brain tumors.",include,1,26,108,28,0.9863718606807887,0.7694280235908942,0.7864121268058362,true_positive_gain,et_vs_hybrid_gained
#194,Comprehensive cross cancer analyses reveal mutational signature cancer specificity.,"Mutational signatures refer to distinct patterns of DNA mutations that occur in a specific context or under certain conditions. It is a powerful tool to describe cancer etiology. We conducted a study to show cancer heterogeneity and cancer specificity from the aspect of mutational signatures through collinearity analysis and machine learning techniques. Through thorough training and independent validation, our results show that while the majority of the mutational signatures are distinct, similarities between certain mutational signature pairs can be observed through both mutation patterns and mutational signature abundance. The observation can potentially assist to determine the etiology of yet elusive mutational signatures. Further analysis using machine learning approaches demonstrated moderate mutational signature cancer specificity. Skin cancer among all cancer types demonstrated the strongest mutational signature specificity.",include,1,28,107,73,0.9832060945406296,0.7697097414618672,0.6646351127725781,true_positive_gain,et_vs_hybrid_gained
#210,Sigflow: an automated and comprehensive pipeline for cancer genome mutational signature analysis.,"SUMMARY: Mutational signatures are recurring DNA alteration patterns caused by distinct mutational events during the evolution of cancer. In recent years, several bioinformatics tools are available for mutational signature analysis. However, most of them focus on specific type of mutation or have limited scope of application. A pipeline tool for comprehensive mutational signature analysis is still lacking. Here we present Sigflow pipeline, which provides an one-stop solution for de novo signature extraction, reference signature fitting, signature stability analysis, sample clustering based on signature exposure in different types of genome DNA alterations including single base substitution, doublet base substitution, small insertion and deletion and copy number alteration. A Docker image is constructed to solve the complex and time-consuming installation issues, and this enables reproducible research by version control of all dependent tools along with their environments. Sigflow pipeline can be applied to both human and mouse genomes. AVAILABILITY AND IMPLEMENTATION: Sigflow is an open source software under academic free license v3.0 and it is freely available at https://github.com/ShixiangWang/sigflow or https://hub.docker.com/r/shixiangwang/sigflow. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",include,1,29,105,7,0.9822650480367332,0.7708561344617428,0.8768331277396535,true_positive_gain,et_vs_hybrid_gained
#643,MutScape: an analytical toolkit for probing the mutational landscape in cancer genomics.,"Cancer genomics has been evolving rapidly, fueled by the emergence of numerous studies and public databases through next-generation sequencing technologies. However, the downstream programs used to preprocess and analyze data on somatic mutations are scattered in different tools, most of which require specific input formats. Here, we developed a user-friendly Python toolkit, MutScape, which provides a comprehensive pipeline of filtering, combination, transformation, analysis and visualization for researchers, to easily explore the cohort-based mutational characterization for studying cancer genomics when obtaining somatic mutation data. MutScape not only can preprocess millions of mutation records in a few minutes, but also offers various analyses simultaneously, including driver gene detection, mutational signature, large-scale alteration identification and actionable biomarker annotation. Furthermore, MutScape supports somatic variant data in both variant call format and mutation annotation format, and leverages caller combination strategies to quickly eliminate false positives. With only two simple commands, robust results and publication-quality images are generated automatically. Herein, we demonstrate the ability of MutScape to correctly reproduce known results using breast cancer samples from The Cancer Genome Atlas. More significantly, discovery of novel results in cancer genomic studies is enabled through the advanced features in MutScape. MutScape is freely available on GitHub, at https://github.com/anitalu724/MutScape.",include,1,34,128,62,0.978881520673373,0.7546755838707803,0.6899995684231711,true_positive_gain,et_vs_hybrid_gained
#221,MSA: reproducible mutational signature attribution with confidence based on simulations.,"BACKGROUND: Mutational signatures proved to be a useful tool for identifying patterns of mutations in genomes, often providing valuable insights about mutagenic processes or normal DNA damage. De novo extraction of signatures is commonly performed using Non-Negative Matrix Factorisation methods, however, accurate attribution of these signatures to individual samples is a distinct problem requiring uncertainty estimation, particularly in noisy scenarios or when the acting signatures have similar shapes. Whilst many packages for signature attribution exist, a few provide accuracy measures, and most are not easily reproducible nor scalable in high-performance computing environments. RESULTS: We present Mutational Signature Attribution (MSA), a reproducible pipeline designed to assign signatures of different mutation types on a single-sample basis, using Non-Negative Least Squares method with optimisation based on configurable simulations. Parametric bootstrap is proposed as a way to measure statistical uncertainties of signature attribution. Supported mutation types include single and doublet base substitutions, indels and structural variants. Results are validated using simulations with reference COSMIC signatures, as well as randomly generated signatures. CONCLUSIONS: MSA is a tool for optimised mutational signature attribution based on simulations, providing confidence intervals using parametric bootstrap. It comprises a set of Python scripts unified in a single Nextflow pipeline with containerisation for cross-platform reproducibility and scalability in high-performance computing environments. The tool is publicly available from https://gitlab.com/s.senkin/MSA .",include,1,38,151,20,0.9729520747662932,0.7440708110069874,0.8165374369757089,true_positive_gain,et_vs_hybrid_gained
#191,MutVis: Automated framework for analysis and visualization of mutational signatures in pathogenic bacterial strains.,"In recent years, mutational signature analysis has become a routine practice in cancer genomics for classification and diagnosis. Characterizing mutational signatures across species or within genomes of a bacteria helps in understanding their evolution and adaptation. However, an integrated framework for analysis and visualization of mutational signatures in bacterial genome is lacking. Hence, we aim to develop an integrated, automated, open-source and user-friendly framework called MutVis to analyze mutational signatures from bacterial whole genome next generation sequencing data. The current framework integrates various publicly available packages using Snakemake workflow management software, Python and R scripting. MutVis supports variant calling, transition (Ti) and transversion (Tv) graphical representation, generation of mutational count matrix, graphical visualization of base-pair substitution spectrum (BPSs) and mutation signatures extraction. TvTi plots provide the 6 base substitution classification for both genome and gene level. Further resolution of base pair substitution classification is provided as 96-profile BPSs plot. Mutation signatures is derived based on the characteristic pattern observed in BPSs using non-negative matrix factorization. Relative contribution of signatures is given as hierarchically clustered heatmap. This provides information on active signatures in the individual given sample and classify samples according to signature contributions. We demonstrated the MutVis framework using geographically different strains of Mycobacterium tuberculosis, downloaded from PATRIC TB-ARC Antibiotic Resistance Catalog (n = 963). The current framework can be used to study mutation biases and characteristic mutational signatures in bacterial genomes and is freely available at https://github.com/AkshathaPrasanna/MutVis.",include,1,39,187,6,0.9680220208372144,0.7284139399149034,0.8802790588609875,true_positive_gain,et_vs_hybrid_gained
#15,MUSE-XAE: MUtational Signature Extraction with eXplainable AutoEncoder enhances tumour types classification.,"MOTIVATION: Mutational signatures are a critical component in deciphering the genetic alterations that underlie cancer development and have become a valuable resource to understand the genomic changes during tumorigenesis. Therefore, it is essential to employ precise and accurate methods for their extraction to ensure that the underlying patterns are reliably identified and can be effectively utilized in new strategies for diagnosis, prognosis, and treatment of cancer patients. RESULTS: We present MUSE-XAE, a novel method for mutational signature extraction from cancer genomes using an explainable autoencoder. Our approach employs a hybrid architecture consisting of a nonlinear encoder that can capture nonlinear interactions among features, and a linear decoder which ensures the interpretability of the active signatures. We evaluated and compared MUSE-XAE with other available tools on both synthetic and real cancer datasets and demonstrated that it achieves superior performance in terms of precision and sensitivity in recovering mutational signature profiles. MUSE-XAE extracts highly discriminative mutational signature profiles by enhancing the classification of primary tumour types and subtypes in real world settings. This approach could facilitate further research in this area, with neural networks playing a critical role in advancing our understanding of cancer genomics. AVAILABILITY AND IMPLEMENTATION: MUSE-XAE software is freely available at https://github.com/compbiomed-unito/MUSE-XAE.",exclude,0,49,160,41,0.9547876835031356,0.739506928770311,0.7481914082550142,false_positive_gain,et_vs_hybrid_gained
#606,The shaping of cancer genomes with the regional impact of mutation processes.,"Mutation signature analysis has been used to infer the contributions of various DNA mutagenic-repair events in individual cancer genomes. Here, we build a statistical framework using a multinomial distribution to assign individual mutations to their cognate mutation signatures. We applied it to 47 million somatic mutations in 1925 publicly available cancer genomes to obtain a mutation signature map at the resolution of individual somatic mutations. Based on mutation signature-level genetic-epigenetic correlative analyses, mutations with transcriptional and replicative strand asymmetries show different enrichment patterns across genomes, and ""transcribed"" chromatin states and gene boundaries are particularly vulnerable to transcription-coupled repair activities. While causative processes of cancer-driving mutations can be diverse, as shown for converging effects of multiple mutational processes on TP53 mutations, the substantial fraction of recurrently mutated amino acids points to specific mutational processes, e.g., age-related C-to-T transition for KRAS p.G12 mutations. Our investigation of evolutionary trajectories with respect to mutation signatures further revealed that candidate pairs of early- vs. late-operative mutation processes in cancer genomes represent evolutionary dynamics of multiple mutational processes in the shaping of cancer genomes. We also observed that the local mutation clusters of kataegis often include mutations arising from multiple mutational processes, suggestive of a locally synchronous impact of multiple mutational processes on cancer genomes. Taken together, our examination of the genome-wide landscape of mutation signatures at the resolution of individual somatic mutations shows the spatially and temporally distinct mutagenesis-repair-replication histories of various mutational processes and their effects on shaping cancer genomes.",include,1,53,115,79,0.944108910577617,0.765832948045761,0.6466669660986438,true_positive_gain,et_vs_hybrid_gained
#443,DiaDeL: An Accurate Deep Learning-Based Model With Mutational Signatures for Predicting Metastasis Stage and Cancer Types.,"Mutational signatures help identify cancer-associated genes that are being involved in tumorigenesis pathways. Hence, these pathways guide precision medicine approaches to find appropriate drugs and treatments. The pattern of mutations varies in different cancer types. Some mutations dysregulate protein function so that their accumulation is responsible for cancer development and might be associated with different cancer types. Therefore, mutations as a feature set can be used as an informative candidate to distinguish various cancer types. There are several options for demonstrating mutations. One might employ binary values to demonstrate mutation regions. Another potential method for extracting features is utilizing mutation interpreters. In this study, we investigate the trinucleotide mutational pattern of each cancer type. Moreover, we extract salient NMF-based mutational signatures across various cancer types. Then, we identify cancer-associated genes of a target cancer based on its salient signatures. We evaluate the cancer-associated genes using survival and gene expression analysis in different stages of cancer. Furthermore, we introduce DiaDeL, which is a deep learning-based binary classifier. The DiaDeL model uses mutational signatures as input features and distinct a cancer type from the others. Our proposed model outperforms six state-of-the-art methods with 0.824 and 0.88 for accuracy and AUC, respectively. The source code is available at https://github.com/sabdollahi/DiaDeL.",include,1,64,154,65,0.9352828653880616,0.7413715875935735,0.6834764431824911,true_positive_gain,et_vs_hybrid_gained
#469,Copy number signature analysis tool and its application in prostate cancer reveals distinct mutational processes and clinical outcomes.,"Genome alteration signatures reflect recurring patterns caused by distinct endogenous or exogenous mutational events during the evolution of cancer. Signatures of single base substitution (SBS) have been extensively studied in different types of cancer. Copy number alterations are important drivers for the progression of multiple cancer. However, practical tools for studying the signatures of copy number alterations are still lacking. Here, a user-friendly open source bioinformatics tool ""sigminer"" has been constructed for copy number signature extraction, analysis and visualization. This tool has been applied in prostate cancer (PC), which is particularly driven by complex genome alterations. Five copy number signatures are identified from human PC genome with this tool. The underlying mutational processes for each copy number signature have been illustrated. Sample clustering based on copy number signature exposure reveals considerable heterogeneity of PC, and copy number signatures show improved PC clinical outcome association when compared with SBS signatures. This copy number signature analysis in PC provides distinct insight into the etiology of PC, and potential biomarkers for PC stratification and prognosis.",exclude,0,73,346,61,0.9192387836575672,0.6794437038675943,0.6900162851068911,false_positive_gain,et_vs_hybrid_gained
#343,RepairSig: Deconvolution of DNA damage and repair contributions to the mutational landscape of cancer.,"Cancer genomes accumulate a large number of somatic mutations resulting from a combination of stochastic errors in DNA processing, cancer-related aberrations of the DNA repair machinery, or carcinogenic exposures; each mutagenic process leaves a characteristic mutational signature. A key challenge is understanding the interactions between signatures, particularly as DNA repair deficiencies often modify the effects of other mutagens. Here, we introduce RepairSig, a computational method that explicitly models additive primary mutagenic processes; non-additive secondary processes, which interact with the primary processes; and a mutation opportunity, that is, the distribution of sites across the genome that are vulnerable to damage or preferentially repaired. We demonstrate that RepairSig accurately recapitulates experimentally identified signatures, identifies autonomous signatures of deficient DNA repair processes, and explains mismatch repair deficiency in breast cancer by de novo inference of both primary and secondary signatures from patient data. RepairSig is freely available for download at https://github.com/ncbi/RepairSig.",exclude,0,74,164,34,0.9186132052708668,0.7375971830923831,0.7661345476913902,false_positive_gain,et_vs_hybrid_gained
#482,Signature-aware deep learning reveals distinct driver gene programs and mutational processes in glioblastoma and colon adenocarcinoma.,"The precise identification of cancer driver mutations is essential for precision oncology; however, it remains a significant challenge because of the overwhelming presence of passenger mutations and the complexity of mutational processes. In this study, we introduce ResMLP-GL, a signature-aware residual multilayer perceptron designed for variant-level cancer driver prediction, which explicitly integrates COSMIC SBS context probability vectors with > 100 functional and sequence features. The network incorporates two projection residual blocks alongside a feature-wise gating module that multiplicatively modulates hidden activations, thereby enhancing the gradient flow and facilitating process-aware representation learning. An Optuna-guided search optimizes parameters such as width, dropout, learning rate, and L2 regularization, whereas ADASYN addresses class imbalance. Trained on harmonized TCGA GBM/COAD exomes and reserved for testing, ResMLP-GL achieved an AUC of 0.949 on held-out data and an AUC of 0.921 on independent ICGC cohorts, surpassing CHASMplus, OncodriveFML, and MutSigCV. SHAP analysis indicated that functional scores (REVEL, AlphaMissense, CADD) and specific SBS probabilities collectively drive predictions, offering interpretable connections between mutational processes and driver selection. The model elucidates tissue-specific, signature-aligned programs (e.g., SBS1 and DNA-repair-related signatures for TP53/PTEN/EGFR in GBM and SBS1/MMR/POLE for APC/KRAS/PIK3CA in COAD), and a model-derived driver burden stratifies survival. The code, trained weights, and processed feature tables were made available for reproducibility. In summary, ResMLP-GL demonstrates that residual-gated MLPs with a quantitative signature context provide state-of-the-art interpretable driver prediction across cancers. Our findings underscore the significance of explicitly incorporating the context of mutational processes, which not only complements but, in certain oncological contexts, surpasses methodologies that rely exclusively on recurrence frequency or functional impact scores. This approach offers a robust framework for addressing tissue-specific challenges in predicting driver mutations. All code, trained models, and processed data are available at https://github.com/Zubair11122/ResMLP-GL to promote transparent and reproducible precision oncology research.",include,1,76,141,127,0.9171912422151376,0.7487617879172269,0.5631580513298319,true_positive_gain,et_vs_hybrid_gained
#324,Deep Unfolding for Non-Negative Matrix Factorization with Application to Mutational Signature Analysis.,"Non-negative matrix factorization (NMF) is a fundamental matrix decomposition technique that is used primarily for dimensionality reduction and is increasing in popularity in the biological domain. Although finding a unique NMF is generally not possible, there are various iterative algorithms for NMF optimization that converge to locally optimal solutions. Such techniques can also serve as a starting point for deep learning methods that unroll the algorithmic iterations into layers of a deep network. In this study, we develop unfolded deep networks for NMF and several regularized variants in both a supervised and an unsupervised setting. We apply our method to various mutation data sets to reconstruct their underlying mutational signatures and their exposures. We demonstrate the increased accuracy of our approach over standard formulations in analyzing simulated and real mutation data.",include,1,77,253,1,0.9105833894264912,0.7085039859637292,0.9007552941936066,true_positive_gain,et_vs_hybrid_gained
#463,DNA Repair Footprint Uncovers Contribution of DNA Repair Mechanism to Mutational Signatures.,"Cancer genomes accumulate a large number of somatic mutations resulting from imperfection of DNA processing during normal cell cycle as well as from carcinogenic exposures or cancer related aberrations of DNA maintenance machinery. These processes often lead to distinctive patterns of mutations, called mutational signatures. Several computational methods have been developed to uncover such signatures from catalogs of somatic mutations. However, cancer mutational signatures are the end-effect of several interplaying factors including carcinogenic exposures and potential deficiencies of the DNA repair mechanism. To fully understand the nature of each signature, it is important to disambiguate the atomic components that contribute to the final signature. Here, we introduce a new descriptor of mutational signatures, DNA Repair FootPrint (RePrint), and show that it can capture common properties of deficiencies in repair mechanisms contributing to diverse signatures. We validate the method with published mutational signatures from cell lines targeted with CRISPR-Cas9-based knockouts of DNA repair genes.",exclude,0,79,185,86,0.9079350213641812,0.728633258496602,0.6302278470916586,false_positive_gain,et_vs_hybrid_gained
#264,Explainable AI Model Reveals Informative Mutational Signatures for Cancer-Type Classification.,"Background/Objectives: The prediction of cancer types is primarily reliant on driver genes and their specific mutations. The advancement in novel omics technologies has led to the acquisition of additional genetic data. When integrated with artificial intelligence models, there is considerable potential for this to enhance the accuracy of cancer diagnosis. As mutational signatures can provide insights into repair mechanism malfunctions, they also have the potential for more accurate cancer diagnosis. Methods: First, we compared unsupervised and supervised machine learning approaches to predict cancer types. We employed deep and artificial neural network architectures with an explainable component like layerwise relevance propagation to extract the most relevant features for the cancer-type prediction. Ten-fold cross-validation and an extensive grid search were used to optimize the neural network architecture using driver gene mutations, mutational signatures and topological mutation information as input. The PCAWG dataset was used as input to discriminate between 17 primary sites and 24 cancer types. Results: Overall, our approach showed that the most relevant mutation information to discriminate between cancer types is increased by >10% using the whole genome or intergenic and intronic genome regions instead of exome information. Furthermore, the most relevant features for most cancer types, except for two, are in the mutational signatures and not the topological mutation information. Conclusions: Informative mutational signatures outperformed the prediction of cancer types in comparison to driver gene mutations and added a new layer of diagnostic information. As the degree of information within the mutational signatures is not solely based on the frequency of occurrence, it is even possible to separate cancer types from the same primary site by the different relevant mutations. Furthermore, the comparison of informative mutational signatures allowed the cancer-type assignment of specific impaired repair mechanisms.",include,1,82,208,95,0.9011961439895436,0.7211159920953429,0.6171746356187104,true_positive_gain,et_vs_hybrid_gained
