record_id,title,abstract,screening_label,is_relevant,et_rank,hybrid_rank,tar_rank,et_score,hybrid_score,tar_score,category,gain_type
#4455,Computational cancer genomics,"Cancer is a complex genetic disease primarily caused by somatic mutations in the genome. Somatic mutations have a pivotal role in the initiation and development of tumor growth. The advent of newer and advanced next-generation sequencing technologies has revolutionized cancer genomics research. It has facilitated genomic analysis of multiple samples in a short time span, thus enabling analysis of large sequencing omics data. However, the sequencing and assembly procedures introduce several errors and artifacts. The computational approaches are becoming increasingly significant for the systematic detection of somatic mutations and in reducing the false positive and false negative mutations. This review focuses on the computational techniques in cancer genomics, specifically databases, methods, and tools for detecting cancer driver genes. The methods for the detection of germline and somatic mutations, noncoding mutations, structural variants, and variant annotations are discussed. As specific biological pathways are capable of complicated rewiring between conditions, methods involving pathway analysis and network-based analyses prove to be useful in cancer prognosis. Methods are developed to predict drug combinations for targeted therapy. The emergence of mutation-specific drugs will lead to precision medicine according to the mutational profile of an individual. This chapter highlights the recent advancements in computational cancer genomics along with challenges and strategies used to gain an in-depth understanding of cancer biology of different types of tumors. © 2021 Elsevier Inc. All rights reserved.",exclude,0,32,26,151,0.9792975422196816,0.8296596093508066,0.5288482310690911,false_positive_gain,et_vs_tar_gained
#340,Mutational signature assignment heterogeneity is widespread and can be addressed by ensemble approaches.,"Single-base substitution (SBS) mutational signatures have become standard practice in cancer genomics. In lieu of de novo signature extraction, reference signature assignment allows users to estimate the activities of pre-established SBS signatures within individual malignancies. Several tools have been developed for this purpose, each with differing methodologies. However, due to a lack of standardization, there may be inter-tool variability in signature assignment. We deeply characterized three assignment strategies and five SBS signature assignment tools. We observed that assignment strategy choice can significantly influence results and interpretations. Despite varying recommendations by tools, Refit performed best by reducing overfitting and maximizing reconstruction of the original mutational spectra. Even after uniform application of Refit, tools varied remarkably in signature assignments both qualitatively (Jaccard index = 0.38-0.83) and quantitatively (Kendall tau-b = 0.18-0.76). This phenomenon was exacerbated for 'flat' signatures such as the homologous recombination deficiency signature SBS3. An ensemble approach (EnsembleFit), which leverages output from all five tools, increased SBS3 assignment accuracy in BRCA1/2-deficient breast carcinomas. After generating synthetic mutational profiles for thousands of pan-cancer tumors, EnsembleFit reduced signature activity assignment error 15.9-24.7% on average using Catalogue of Somatic Mutations In Cancer and non-standard reference signature sets. We have also released the EnsembleFit web portal (https://www.ensemblefit.pittlabgenomics.com) for users to generate or download ensemble-based SBS signature assignments using any strategy and combination of tools. Overall, we show that signature assignment heterogeneity across tools and strategies is non-negligible and propose a viable, ensemble solution.",irrelevant,0,33,48,117,0.9788907115468513,0.810968527488155,0.5861751065499771,false_positive_gain,et_vs_tar_gained
#3069,Statistical Challenges in Mutational Signature Analyses of Cancer Sequencing Data,"Cancer is a disease driven and characterised by mutations in the DNA. Different categorisations of DNA mutations have allowed the identification of patterns that can act as signatures for the processes that have governed the life of the cancer. Over the last decade, research groups have identified more than 100 such signatures. Mutational signature analyses are improving our understanding of cancer aetiology and have the potential to play a role in diagnosis, prognosis, and treatment choice. Consisting of the estimation of probability mass functions or weights determining non-negative weighted combinations, they are perhaps unique among comparable analyses in themedical literature, in that no confidence intervals or other representations of uncertainty are demanded when reporting the results. Here, we review the key statistical challenges for the field, assess the potential of existing approaches to adapt to those challenges, and comment on what we think are promising directions. As we deal with data that are noisy and heterogeneous, we evaluate howto present them so that models use all the information available. Often posed as a matrix factorisation problem, we argue that a fully probabilistic approach is required to quantify uncertainty around model parameters and to underpin principled study design. Lastly, we argue that novel methodology is required to evaluate uncertainties in analyses where prior information is available.",exclude,0,37,82,149,0.9764793175237864,0.7802906707864253,0.5367314800438823,false_positive_gain,et_vs_tar_gained
#184,A practical framework RNMF for exploring the association between mutational signatures and genes using gene cumulative contribution abundance.,"BACKGROUND: Mutational signatures are somatic mutation patterns enriching operational mutational processes, which can provide abundant information about the mechanism of cancer. However, understanding of the pathogenic biological processes is still limited, such as the association between mutational signatures and genes. METHODS: We developed a simple and practical R package called RNMF (https://github.com/zhenzhang-li/RNMF) for mutational signature analysis, including a key model of cumulative contribution abundance (CCA), which was designed to highlight the association between mutational signatures and genes and then applying it to a meta-analysis of 1073 individuals with esophageal squamous cell carcinoma (ESCC). RESULTS: We revealed a number of known and previously undescribed SBS or ID signatures, and we found that APOBEC signatures (SBS2* and SBS13*) were closely associated with PIK3CA mutation, especially the E545k mutation. Furthermore, we found that age signature is closely related to the frequent mutation of TP53, of which R342* is highlighted due to strongly linked to age signature. In addition, the CCA matrix image data of genes in the signatures New, SBS3*, and SBS17b* were helpful for the preliminary evaluation of shortened survival outcome. These results can be extended to estimate the distribution of mutations or features, and study the potential impact of clinical factors. CONCLUSIONS: In a word, RNMF can successfully achieve the correlation analysis of mutational signatures and genes, proving a strong theoretical basis for the study of mutational processes during tumor development.",exclude,0,45,23,106,0.9594334274507916,0.8403330624758338,0.5972733580116525,false_positive_gain,et_vs_tar_gained
#339,Damage and Misrepair Signatures: Compact Representations of Pan-cancer Mutational Processes.,"Mutational signatures of single-base substitutions (SBSs) characterize somatic mutation processes which contribute to cancer development and progression. However, current mutational signatures do not distinguish the two independent steps that generate SBSs: the initial DNA damage followed by erroneous repair. To address this modelling gap we developed DAMUTA, a hierarchical Bayesian probabilistic model that infers separate signatures for each process, and captures their sample-specific interaction. We applied DAMUTA to 18,974 pan-cancer whole genome sequencing mutation catalogues from 23 cancer types and show that tissue-specificity in mutation patterns is driven largely by variability in damage processes. We also show that misrepair processes are predictive of DNA damage response deficiencies. Unlike existing approaches, DAMUTA distinguishes damage from misrepair contributions, and we demonstrate significant improvements over a mutational-burden baseline or signatures from the COSMIC database. Our analysis reveals a shared pan-cancer pattern of early clonal transition-mutations which shifts to a more uniform substitution pattern consistent with increased reliance on translesion synthesis for damage tolerance. DAMUTA thus generates a compact set of signatures which resolves redundancies of current signature models, disentangles the effects of DNA damage and misrepair processes, and facilitates improved stratification of tumours, while providing a framework towards a unified pan-cancer model of the cellular response to DNA damage.",include,1,47,24,104,0.9569503360709084,0.8379167417325221,0.6054738268836601,true_positive_gain,et_vs_tar_gained
#423,Association of mutation signature effectuating processes with mutation hotspots in driver genes and non-coding regions.,"Cancer driving mutations are difficult to identify especially in the non-coding part of the genome. Here, we present sigDriver, an algorithm dedicated to call driver mutations. Using 3813 whole-genome sequenced tumors from International Cancer Genome Consortium, The Cancer Genome Atlas Program, and a childhood pan-cancer cohort, we employ mutational signatures based on single-base substitution in the context of tri- and penta-nucleotide motifs for hotspot discovery. Knowledge-based annotations on mutational hotspots reveal enrichment in coding regions and regulatory elements for 6 mutational signatures, including APOBEC and somatic hypermutation signatures. APOBEC activity is associated with 32 hotspots of which 11 are known and 11 are putative regulatory drivers. Somatic single nucleotide variants clusters detected at hypermutation-associated hotspots are distinct from translocation or gene amplifications. Patients carrying APOBEC induced PIK3CA driver mutations show lower occurrence of signature SBS39. In summary, sigDriver uncovers mutational processes associated with known and putative tumor drivers and hotspots particularly in the non-coding regions of the genome.",include,1,61,62,112,0.9356070362541512,0.7982575886774101,0.593597845481571,true_positive_gain,et_vs_tar_gained
#434,A practical framework and online tool for mutational signature analyses show inter-tissue variation and driver dependencies.,"Mutational signatures are patterns of mutations that arise during tumorigenesis. We present an enhanced, practical framework for mutational signature analyses. Applying these methods on 3,107 whole genome sequenced (WGS) primary cancers of 21 organs reveals known signatures and nine previously undescribed rearrangement signatures. We highlight inter-organ variability of signatures and present a way of visualizing that diversity, reinforcing our findings in an independent analysis of 3,096 WGS metastatic cancers. Signatures with a high level of genomic instability are dependent on TP53 dysregulation. We illustrate how uncertainty in mutational signature identification and assignment to samples affects tumor classification, reinforcing that using multiple orthogonal mutational signature data is not only beneficial, it is essential for accurate tumor stratification. Finally, we present a reference web-based tool for cancer and experimentally-generated mutational signatures, called Signal (https://signal.mutationalsignatures.com), that also supports performing mutational signature analyses.",include,1,68,30,111,0.9294741701567788,0.8278439264959058,0.5936106149673599,true_positive_gain,et_vs_tar_gained
#11,"Mutational signatures: emerging concepts, caveats and clinical applications.","Whole-genome sequencing has brought the cancer genomics community into new territory. Thanks to the sheer power provided by the thousands of mutations present in each patient's cancer, we have been able to discern generic patterns of mutations, termed 'mutational signatures', that arise during tumorigenesis. These mutational signatures provide new insights into the causes of individual cancers, revealing both endogenous and exogenous factors that have influenced cancer development. This Review brings readers up to date in a field that is expanding in computational, experimental and clinical directions. We focus on recent conceptual advances, underscoring some of the caveats associated with using the mutational signature frameworks and highlighting the latest experimental insights. We conclude by bringing attention to areas that are likely to see advancements in clinical applications.",exclude,0,69,6,152,0.9283345028159756,0.8674993391488237,0.528447324083263,false_positive_gain,et_vs_tar_gained
#317,Chromatin accessibility of primary human cancers ties regional mutational processes and signatures with tissues of origin.,"Somatic mutations in cancer genomes are associated with DNA replication timing (RT) and chromatin accessibility (CA), however these observations are based on normal tissues and cell lines while primary cancer epigenomes remain uncharacterised. Here we use machine learning to model megabase-scale mutation burden in 2,500 whole cancer genomes and 17 cancer types via a compendium of 900 CA and RT profiles covering primary cancers, normal tissues, and cell lines. CA profiles of primary cancers, rather than those of normal tissues, are most predictive of regional mutagenesis in most cancer types. Feature prioritisation shows that the epigenomes of matching cancer types and organ systems are often the strongest predictors of regional mutation burden, highlighting disease-specific associations of mutational processes. The genomic distributions of mutational signatures are also shaped by the epigenomes of matched cancer and tissue types, with SBS5/40, carcinogenic and unknown signatures most accurately predicted by our models. In contrast, fewer associations of RT and regional mutagenesis are found. Lastly, the models highlight genomic regions with overrepresented mutations that dramatically exceed epigenome-derived expectations and show a pan-cancer convergence to genes and pathways involved in development and oncogenesis, indicating the potential of this approach for coding and non-coding driver discovery. The association of regional mutational processes with the epigenomes of primary cancers suggests that the landscape of passenger mutations is predominantly shaped by the epigenomes of cancer cells after oncogenic transformation.",include,1,70,68,116,0.927685381729817,0.7915360586327548,0.5895059252550833,true_positive_gain,et_vs_tar_gained
#20,Significance and limitations of the use of next-generation sequencing technologies for detecting mutational signatures.,"Next generation sequencing technologies (NGS) have been critical in characterizing the genomic landscape and untangling the genetic heterogeneity of human cancer. Since its advent, NGS has played a pivotal role in identifying the patterns of somatic mutations imprinted on cancer genomes and in deciphering the signatures of the mutational processes that have generated these patterns. Mutational signatures serve as phenotypic molecular footprints of exposures to environmental factors as well as deficiency and infidelity of DNA replication and repair pathways. Since the first roadmap of mutational signatures in human cancer was generated from whole-genome and whole-exome sequencing data, there has been a growing interest to extract mutational signatures from other NGS technologies such as targeted panel sequencing, RNA sequencing, single-cell sequencing, duplex sequencing, reduced representation sequencing, and long-read sequencing. Many of these technologies have their inherent sequencing biases and produce technical artifacts that can confound the extraction of reliable and interpretable mutational signatures. In this review, we highlight the relevance, limitations, and prospects of using different NGS technologies for examining mutational patterns and for deciphering mutational signatures.",irrelevant,0,71,84,115,0.9226474700306893,0.780205628840266,0.5897260298620671,false_positive_gain,et_vs_tar_gained
